transaction_id,date,order_time,serve_time,weekday,customer_type,total_amount,payment_method,dine_type,table_id,staff_id,guest_count,order_items,wait_time_min,avg_spend_per_guest
TXN00111,2021-06-02,09:21,09:35,Wednesday,Returning,700,Cash,DineIn,T2,S1,1,"[{""product"": ""CinnamonRoll"", ""qty"": 2, ""unit_price"": 170}, {""product"": ""PourOver"", ""qty"": 2, ""unit_price"": 180}]",14.0,700.0
TXN00080,2021-06-02,09:51,10:02,Wednesday,Returning,320,MobilePay,DineIn,T9,S3,2,"[{""product"": ""EarlGrey"", ""qty"": 2, ""unit_price"": 160}]",11.0,160.0
TXN00113,2021-06-02,10:55,11:04,Wednesday,Returning,840,Cash,DineIn,T4,S1,2,"[{""product"": ""ShaddockSparkling"", ""qty"": 2, ""unit_price"": 160}, {""product"": ""Americano"", ""qty"": 1, ""unit_price"": 120}, {""product"": ""AuLait"", ""qty"": 2, ""unit_price"": 200}]",9.0,420.0
TXN00168,2021-06-02,12:17,12:31,Wednesday,Returning,660,Cash,DineIn,T6,S2,1,"[{""product"": ""EarlGrey"", ""qty"": 1, ""unit_price"": 160}, {""product"": ""ShaddockSparkling"", ""qty"": 1, ""unit_price"": 160}, {""product"": ""Tiramisu"", ""qty"": 2, ""unit_price"": 170}]",14.0,660.0
TXN00069,2021-06-02,12:38,12:45,Wednesday,New,360,Credit,DineIn,T8,S4,2,"[{""product"": ""PourOver"", ""qty"": 2, ""unit_price"": 180}]",7.0,180.0
TXN00133,2021-06-02,12:43,12:56,Wednesday,New,320,MobilePay,TakeOut,,S4,2,"[{""product"": ""EarlGrey"", ""qty"": 2, ""unit_price"": 160}]",13.0,160.0
TXN00042,2021-06-02,13:06,13:20,Wednesday,Returning,800,Cash,DineIn,T1,S4,2,"[{""product"": ""AuLait"", ""qty"": 2, ""unit_price"": 200}, {""product"": ""Americano"", ""qty"": 2, ""unit_price"": 120}, {""product"": ""EarlGrey"", ""qty"": 1, ""unit_price"": 160}]",14.0,400.0
TXN00098,2021-06-02,13:23,13:35,Wednesday,Returning,850,Cash,DineIn,T4,S2,3,"[{""product"": ""CinnamonRoll"", ""qty"": 1, ""unit_price"": 170}, {""product"": ""CinnamonRoll"", ""qty"": 1, ""unit_price"": 170}, {""product"": ""Tiramisu"", ""qty"": 2, ""unit_price"": 170}, {""product"": ""CinnamonRoll"", ""qty"": 1, ""unit_price"": 170}]",12.0,283.3333333333333
TXN00226,2021-06-02,13:52,14:04,Wednesday,Returning,580,Credit,DineIn,T3,S1,2,"[{""product"": ""IceDrip"", ""qty"": 1, ""unit_price"": 150}, {""product"": ""PourOver"", ""qty"": 1, ""unit_price"": 180}, {""product"": ""Sandwich"", ""qty"": 1, ""unit_price"": 250}]",12.0,290.0
TXN00009,2021-06-02,16:50,16:59,Wednesday,Returning,610,Cash,DineIn,T9,S3,3,"[{""product"": ""Americano"", ""qty"": 1, ""unit_price"": 120}, {""product"": ""Tiramisu"", ""qty"": 1, ""unit_price"": 170}, {""product"": ""ShaddockSparkling"", ""qty"": 2, ""unit_price"": 160}]",9.0,203.33333333333334
TXN00188,2021-06-02,17:30,17:37,Wednesday,Returning,340,MobilePay,DineIn,T8,S1,1,"[{""product"": ""CinnamonRoll"", ""qty"": 2, ""unit_price"": 170}]",7.0,340.0
TXN00061,2021-06-02,17:31,17:39,Wednesday,New,1250,Cash,DineIn,T6,S2,4,"[{""product"": ""PourOver"", ""qty"": 3, ""unit_price"": 180}, {""product"": ""CinnamonRoll"", ""qty"": 1, ""unit_price"": 170}, {""product"": ""PourOver"", ""qty"": 3, ""unit_price"": 180}]",8.0,312.5
TXN00219,2021-06-02,19:54,20:07,Wednesday,New,580,Credit,DineIn,T10,S2,2,"[{""product"": ""Americano"", ""qty"": 2, ""unit_price"": 120}, {""product"": ""CinnamonRoll"", ""qty"": 2, ""unit_price"": 170}]",13.0,290.0
TXN00152,2021-06-03,10:49,11:00,Thursday,New,300,Credit,TakeOut,,S1,2,"[{""product"": ""IceDrip"", ""qty"": 2, ""unit_price"": 150}]",11.0,150.0
TXN00236,2021-06-03,11:26,11:32,Thursday,Returning,1370,Credit,DineIn,T3,S3,3,"[{""product"": ""Sandwich"", ""qty"": 2, ""unit_price"": 250}, {""product"": ""CinnamonRoll"", ""qty"": 2, ""unit_price"": 170}, {""product"": ""Tiramisu"", ""qty"": 1, ""unit_price"": 170}, {""product"": ""PourOver"", ""qty"": 2, ""unit_price"": 180}]",6.0,456.6666666666667
TXN00110,2021-06-03,12:51,13:04,Thursday,New,520,MobilePay,DineIn,T3,S3,1,"[{""product"": ""Tiramisu"", ""qty"": 2, ""unit_price"": 170}, {""product"": ""PourOver"", ""qty"": 1, ""unit_price"": 180}]",13.0,520.0
TXN00177,2021-06-03,13:47,13:53,Thursday,New,680,Cash,DineIn,T5,S3,3,"[{""product"": ""EarlGrey"", ""qty"": 2, ""unit_price"": 160}, {""product"": ""PourOver"", ""qty"": 2, ""unit_price"": 180}]",6.0,226.66666666666666
TXN00076,2021-06-03,15:09,15:19,Thursday,New,1760,Cash,DineIn,T10,S1,4,"[{""product"": ""AuLait"", ""qty"": 3, ""unit_price"": 200}, {""product"": ""PourOver"", ""qty"": 2, ""unit_price"": 180}, {""product"": ""CinnamonRoll"", ""qty"": 3, ""unit_price"": 170}, {""product"": ""CinnamonRoll"", ""qty"": 1, ""unit_price"": 170}, {""product"": ""Americano"", ""qty"": 1, ""unit_price"": 120}]",10.0,440.0
TXN00013,2021-06-03,15:47,15:57,Thursday,New,600,Cash,DineIn,T3,S1,1,"[{""product"": ""AuLait"", ""qty"": 1, ""unit_price"": 200}, {""product"": ""AuLait"", ""qty"": 2, ""unit_price"": 200}]",10.0,600.0
TXN00213,2021-06-03,20:02,20:14,Thursday,Returning,310,Cash,DineIn,T10,S2,1,"[{""product"": ""EarlGrey"", ""qty"": 1, ""unit_price"": 160}, {""product"": ""IceDrip"", ""qty"": 1, ""unit_price"": 150}]",12.0,310.0
TXN00179,2021-06-03,20:44,20:57,Thursday,Returning,340,MobilePay,DineIn,T3,S1,2,"[{""product"": ""Tiramisu"", ""qty"": 2, ""unit_price"": 170}]",13.0,170.0
TXN00121,2021-06-04,08:04,08:10,Friday,Returning,940,Credit,DineIn,T5,S1,1,"[{""product"": ""AuLait"", ""qty"": 1, ""unit_price"": 200}, {""product"": ""Tiramisu"", ""qty"": 2, ""unit_price"": 170}, {""product"": ""AuLait"", ""qty"": 2, ""unit_price"": 200}]",6.0,940.0
TXN00067,2021-06-04,09:07,09:22,Friday,New,510,Credit,DineIn,T8,S1,2,"[{""product"": ""CinnamonRoll"", ""qty"": 1, ""unit_price"": 170}, {""product"": ""CinnamonRoll"", ""qty"": 2, ""unit_price"": 170}]",15.0,255.0
TXN00239,2021-06-04,09:26,09:31,Friday,Returning,170,Credit,DineIn,T5,S2,1,"[{""product"": ""Tiramisu"", ""qty"": 1, ""unit_price"": 170}]",5.0,170.0
TXN00016,2021-06-04,09:57,10:08,Friday,Returning,160,Cash,TakeOut,,S1,2,"[{""product"": ""EarlGrey"", ""qty"": 1, ""unit_price"": 160}]",11.0,80.0
TXN00251,2021-06-04,17:13,17:18,Friday,New,510,Cash,DineIn,T8,S2,3,"[{""product"": ""CinnamonRoll"", ""qty"": 2, ""unit_price"": 170}, {""product"": ""Tiramisu"", ""qty"": 1, ""unit_price"": 170}]",5.0,170.0
TXN00172,2021-06-04,17:59,18:10,Friday,Returning,520,Credit,DineIn,T8,S4,1,"[{""product"": ""Americano"", ""qty"": 1, ""unit_price"": 120}, {""product"": ""AuLait"", ""qty"": 2, ""unit_price"": 200}]",11.0,520.0
TXN00130,2021-06-04,18:22,18:37,Friday,New,160,Cash,DineIn,T7,S2,1,"[{""product"": ""EarlGrey"", ""qty"": 1, ""unit_price"": 160}]",15.0,160.0
TXN00089,2021-06-04,18:31,18:42,Friday,Returning,250,MobilePay,DineIn,T4,S1,2,"[{""product"": ""Sandwich"", ""qty"": 1, ""unit_price"": 250}]",11.0,125.0
TXN00052,2021-06-04,20:50,21:02,Friday,New,490,Credit,DineIn,T3,S3,2,"[{""product"": ""CinnamonRoll"", ""qty"": 1, ""unit_price"": 170}, {""product"": ""EarlGrey"", ""qty"": 2, ""unit_price"": 160}]",12.0,245.0
TXN00183,2021-06-05,10:22,10:37,Saturday,New,860,Credit,DineIn,T1,S1,1,"[{""product"": ""Tiramisu"", ""qty"": 2, ""unit_price"": 170}, {""product"": ""Americano"", ""qty"": 1, ""unit_price"": 120}, {""product"": ""AuLait"", ""qty"": 2, ""unit_price"": 200}]",15.0,860.0
TXN00021,2021-06-05,12:18,12:25,Saturday,Returning,510,Cash,DineIn,T1,S4,2,"[{""product"": ""CinnamonRoll"", ""qty"": 2, ""unit_price"": 170}, {""product"": ""CinnamonRoll"", ""qty"": 1, ""unit_price"": 170}]",7.0,255.0
TXN00135,2021-06-05,12:38,12:48,Saturday,New,820,Cash,DineIn,T2,S2,3,"[{""product"": ""CinnamonRoll"", ""qty"": 2, ""unit_price"": 170}, {""product"": ""EarlGrey"", ""qty"": 1, ""unit_price"": 160}, {""product"": ""EarlGrey"", ""qty"": 2, ""unit_price"": 160}]",10.0,273.3333333333333
TXN00017,2021-06-05,15:23,15:36,Saturday,Returning,320,MobilePay,DineIn,T4,S4,2,"[{""product"": ""ShaddockSparkling"", ""qty"": 2, ""unit_price"": 160}]",13.0,160.0
TXN00192,2021-06-05,16:58,17:05,Saturday,New,1170,Credit,DineIn,T8,S4,4,"[{""product"": ""EarlGrey"", ""qty"": 2, ""unit_price"": 160}, {""product"": ""CinnamonRoll"", ""qty"": 2, ""unit_price"": 170}, {""product"": ""CinnamonRoll"", ""qty"": 3, ""unit_price"": 170}]",7.0,292.5
TXN00201,2021-06-06,10:43,10:55,Sunday,New,640,MobilePay,DineIn,T5,S2,1,"[{""product"": ""Americano"", ""qty"": 2, ""unit_price"": 120}, {""product"": ""AuLait"", ""qty"": 2, ""unit_price"": 200}]",12.0,640.0
TXN00027,2021-06-06,11:32,11:44,Sunday,Returning,1430,MobilePay,DineIn,T2,S4,4,"[{""product"": ""CinnamonRoll"", ""qty"": 1, ""unit_price"": 170}, {""product"": ""AuLait"", ""qty"": 1, ""unit_price"": 200}, {""product"": ""Tiramisu"", ""qty"": 2, ""unit_price"": 170}, {""product"": ""PourOver"", ""qty"": 3, ""unit_price"": 180}, {""product"": ""PourOver"", ""qty"": 1, ""unit_price"": 180}]",12.0,357.5
TXN00043,2021-06-06,16:59,17:07,Sunday,Returning,650,Credit,DineIn,T9,S4,4,"[{""product"": ""Americano"", ""qty"": 1, ""unit_price"": 120}, {""product"": ""Americano"", ""qty"": 3, ""unit_price"": 120}, {""product"": ""CinnamonRoll"", ""qty"": 1, ""unit_price"": 170}]",8.0,162.5
TXN00048,2021-06-06,17:08,17:19,Sunday,Returning,590,MobilePay,DineIn,T7,S2,2,"[{""product"": ""Sandwich"", ""qty"": 1, ""unit_price"": 250}, {""product"": ""CinnamonRoll"", ""qty"": 2, ""unit_price"": 170}]",11.0,295.0
TXN00046,2021-06-06,18:30,18:43,Sunday,Returning,540,Credit,DineIn,T3,S2,2,"[{""product"": ""AuLait"", ""qty"": 1, ""unit_price"": 200}, {""product"": ""CinnamonRoll"", ""qty"": 2, ""unit_price"": 170}]",13.0,270.0
TXN00181,2021-06-06,18:34,18:47,Sunday,Returning,730,MobilePay,DineIn,T7,S1,1,"[{""product"": ""AuLait"", ""qty"": 2, ""unit_price"": 200}, {""product"": ""CinnamonRoll"", ""qty"": 1, ""unit_price"": 170}, {""product"": ""EarlGrey"", ""qty"": 1, ""unit_price"": 160}]",13.0,730.0
TXN00050,2021-06-06,19:04,19:11,Sunday,Returning,510,MobilePay,TakeOut,,S2,2,"[{""product"": ""Tiramisu"", ""qty"": 1, ""unit_price"": 170}, {""product"": ""CinnamonRoll"", ""qty"": 2, ""unit_price"": 170}]",7.0,255.0
TXN00244,2021-06-07,08:57,09:05,Monday,Returning,290,Credit,TakeOut,,S2,2,"[{""product"": ""Americano"", ""qty"": 1, ""unit_price"": 120}, {""product"": ""Tiramisu"", ""qty"": 1, ""unit_price"": 170}]",8.0,145.0
TXN00194,2021-06-07,11:51,12:03,Monday,New,340,MobilePay,DineIn,T4,S3,2,"[{""product"": ""Tiramisu"", ""qty"": 2, ""unit_price"": 170}]",12.0,170.0
TXN00040,2021-06-07,12:13,12:28,Monday,Returning,470,Credit,DineIn,T5,S1,1,"[{""product"": ""Tiramisu"", ""qty"": 1, ""unit_price"": 170}, {""product"": ""IceDrip"", ""qty"": 2, ""unit_price"": 150}]",15.0,470.0
TXN00190,2021-06-07,13:12,13:17,Monday,Returning,900,Credit,DineIn,T5,S1,1,"[{""product"": ""EarlGrey"", ""qty"": 2, ""unit_price"": 160}, {""product"": ""CinnamonRoll"", ""qty"": 2, ""unit_price"": 170}, {""product"": ""Americano"", ""qty"": 2, ""unit_price"": 120}]",5.0,900.0
TXN00122,2021-06-07,13:52,14:03,Monday,New,640,Cash,DineIn,T10,S1,3,"[{""product"": ""ShaddockSparkling"", ""qty"": 2, ""unit_price"": 160}, {""product"": ""EarlGrey"", ""qty"": 2, ""unit_price"": 160}]",11.0,213.33333333333334
TXN00151,2021-06-07,14:13,14:24,Monday,New,810,Credit,DineIn,T1,S3,1,"[{""product"": ""EarlGrey"", ""qty"": 2, ""unit_price"": 160}, {""product"": ""Americano"", ""qty"": 2, ""unit_price"": 120}, {""product"": ""Sandwich"", ""qty"": 1, ""unit_price"": 250}]",11.0,810.0
TXN00182,2021-06-07,14:46,14:59,Monday,New,830,Cash,DineIn,T5,S3,2,"[{""product"": ""Tiramisu"", ""qty"": 2, ""unit_price"": 170}, {""product"": ""CinnamonRoll"", ""qty"": 1, ""unit_price"": 170}, {""product"": ""ShaddockSparkling"", ""qty"": 2, ""unit_price"": 160}]",13.0,415.0
TXN00079,2021-06-07,16:46,16:56,Monday,New,770,MobilePay,DineIn,T1,S4,3,"[{""product"": ""AuLait"", ""qty"": 1, ""unit_price"": 200}, {""product"": ""CinnamonRoll"", ""qty"": 1, ""unit_price"": 170}, {""product"": ""AuLait"", ""qty"": 2, ""unit_price"": 200}]",10.0,256.6666666666667
TXN00024,2021-06-08,08:13,08:27,Tuesday,New,2040,MobilePay,DineIn,T3,S2,4,"[{""product"": ""CinnamonRoll"", ""qty"": 3, ""unit_price"": 170}, {""product"": ""CinnamonRoll"", ""qty"": 3, ""unit_price"": 170}, {""product"": ""CinnamonRoll"", ""qty"": 3, ""unit_price"": 170}, {""product"": ""Tiramisu"", ""qty"": 2, ""unit_price"": 170}, {""product"": ""Tiramisu"", ""qty"": 1, ""unit_price"": 170}]",14.0,510.0
TXN00203,2021-06-08,10:50,11:03,Tuesday,New,180,Credit,DineIn,T9,S1,1,"[{""product"": ""PourOver"", ""qty"": 1, ""unit_price"": 180}]",13.0,180.0
TXN00059,2021-06-08,11:34,11:43,Tuesday,New,740,MobilePay,DineIn,T2,S4,2,"[{""product"": ""AuLait"", ""qty"": 2, ""unit_price"": 200}, {""product"": ""Tiramisu"", ""qty"": 2, ""unit_price"": 170}]",9.0,370.0
TXN00119,2021-06-08,12:31,12:40,Tuesday,Returning,570,Cash,DineIn,T3,S2,2,"[{""product"": ""CinnamonRoll"", ""qty"": 1, ""unit_price"": 170}, {""product"": ""Americano"", ""qty"": 2, ""unit_price"": 120}, {""product"": ""EarlGrey"", ""qty"": 1, ""unit_price"": 160}]",9.0,285.0
TXN00229,2021-06-08,12:58,13:13,Tuesday,Returning,670,MobilePay,DineIn,T7,S4,3,"[{""product"": ""Sandwich"", ""qty"": 2, ""unit_price"": 250}, {""product"": ""Tiramisu"", ""qty"": 1, ""unit_price"": 170}]",15.0,223.33333333333334
TXN00127,2021-06-08,13:47,13:56,Tuesday,Returning,640,Credit,DineIn,T9,S3,4,"[{""product"": ""CinnamonRoll"", ""qty"": 1, ""unit_price"": 170}, {""product"": ""IceDrip"", ""qty"": 2, ""unit_price"": 150}, {""product"": ""CinnamonRoll"", ""qty"": 1, ""unit_price"": 170}]",9.0,160.0
TXN00004,2021-06-08,15:25,15:38,Tuesday,Returning,200,Cash,DineIn,T9,S4,1,"[{""product"": ""AuLait"", ""qty"": 1, ""unit_price"": 200}]",13.0,200.0
TXN00195,2021-06-08,18:13,18:20,Tuesday,Returning,740,Cash,DineIn,T9,S2,2,"[{""product"": ""CinnamonRoll"", ""qty"": 1, ""unit_price"": 170}, {""product"": ""EarlGrey"", ""qty"": 2, ""unit_price"": 160}, {""product"": ""Sandwich"", ""qty"": 1, ""unit_price"": 250}]",7.0,370.0
TXN00131,2021-06-08,18:55,19:00,Tuesday,Returning,820,MobilePay,DineIn,T8,S2,3,"[{""product"": ""Sandwich"", ""qty"": 2, ""unit_price"": 250}, {""product"": ""AuLait"", ""qty"": 1, ""unit_price"": 200}, {""product"": ""Americano"", ""qty"": 1, ""unit_price"": 120}]",5.0,273.3333333333333
TXN00128,2021-06-09,08:44,08:54,Wednesday,Returning,770,MobilePay,DineIn,T7,S2,3,"[{""product"": ""CinnamonRoll"", ""qty"": 1, ""unit_price"": 170}, {""product"": ""Americano"", ""qty"": 2, ""unit_price"": 120}, {""product"": ""PourOver"", ""qty"": 2, ""unit_price"": 180}]",10.0,256.6666666666667
TXN00169,2021-06-09,09:00,09:08,Wednesday,Returning,400,Cash,DineIn,T3,S3,1,"[{""product"": ""ShaddockSparkling"", ""qty"": 1, ""unit_price"": 160}, {""product"": ""Americano"", ""qty"": 2, ""unit_price"": 120}]",8.0,400.0
TXN00198,2021-06-09,09:00,09:08,Wednesday,Returning,710,Cash,DineIn,T8,S4,4,"[{""product"": ""Americano"", ""qty"": 3, ""unit_price"": 120}, {""product"": ""PourOver"", ""qty"": 1, ""unit_price"": 180}, {""product"": ""Tiramisu"", ""qty"": 1, ""unit_price"": 170}]",8.0,177.5
TXN00191,2021-06-09,09:36,09:44,Wednesday,New,900,Credit,DineIn,T2,S4,3,"[{""product"": ""ShaddockSparkling"", ""qty"": 2, ""unit_price"": 160}, {""product"": ""CinnamonRoll"", ""qty"": 1, ""unit_price"": 170}, {""product"": ""Americano"", ""qty"": 2, ""unit_price"": 120}, {""product"": ""Tiramisu"", ""qty"": 1, ""unit_price"": 170}]",8.0,300.0
TXN00034,2021-06-09,12:04,12:14,Wednesday,Returning,540,MobilePay,DineIn,T4,S3,3,"[{""product"": ""AuLait"", ""qty"": 1, ""unit_price"": 200}, {""product"": ""CinnamonRoll"", ""qty"": 2, ""unit_price"": 170}]",10.0,180.0
TXN00138,2021-06-09,12:41,12:52,Wednesday,New,330,Cash,TakeOut,,S2,2,"[{""product"": ""CinnamonRoll"", ""qty"": 1, ""unit_price"": 170}, {""product"": ""ShaddockSparkling"", ""qty"": 1, ""unit_price"": 160}]",11.0,165.0
TXN00176,2021-06-09,13:13,13:28,Wednesday,Returning,490,Credit,DineIn,T5,S1,3,"[{""product"": ""IceDrip"", ""qty"": 1, ""unit_price"": 150}, {""product"": ""Tiramisu"", ""qty"": 2, ""unit_price"": 170}]",15.0,163.33333333333334
TXN00068,2021-06-09,14:08,14:21,Wednesday,Returning,540,MobilePay,DineIn,T7,S3,2,"[{""product"": ""CinnamonRoll"", ""qty"": 1, ""unit_price"": 170}, {""product"": ""Americano"", ""qty"": 1, ""unit_price"": 120}, {""product"": ""Sandwich"", ""qty"": 1, ""unit_price"": 250}]",13.0,270.0
TXN00148,2021-06-09,14:47,14:55,Wednesday,Returning,290,Cash,DineIn,T8,S3,1,"[{""product"": ""Tiramisu"", ""qty"": 1, ""unit_price"": 170}, {""product"": ""Americano"", ""qty"": 1, ""unit_price"": 120}]",8.0,290.0
TXN00051,2021-06-09,16:21,16:29,Wednesday,New,730,Credit,DineIn,T7,S2,3,"[{""product"": ""Tiramisu"", ""qty"": 1, ""unit_price"": 170}, {""product"": ""PourOver"", ""qty"": 2, ""unit_price"": 180}, {""product"": ""AuLait"", ""qty"": 1, ""unit_price"": 200}]",8.0,243.33333333333334
TXN00240,2021-06-09,17:15,17:24,Wednesday,Returning,440,MobilePay,DineIn,T7,S4,1,"[{""product"": ""Americano"", ""qty"": 1, ""unit_price"": 120}, {""product"": ""ShaddockSparkling"", ""qty"": 2, ""unit_price"": 160}]",9.0,440.0
TXN00159,2021-06-09,20:02,20:07,Wednesday,New,850,Credit,DineIn,T10,S4,2,"[{""product"": ""Tiramisu"", ""qty"": 2, ""unit_price"": 170}, {""product"": ""Tiramisu"", ""qty"": 1, ""unit_price"": 170}, {""product"": ""Tiramisu"", ""qty"": 2, ""unit_price"": 170}]",5.0,425.0
TXN00252,2021-06-10,09:14,09:21,Thursday,Returning,640,Credit,DineIn,T2,S3,1,"[{""product"": ""CinnamonRoll"", ""qty"": 1, ""unit_price"": 170}, {""product"": ""CinnamonRoll"", ""qty"": 1, ""unit_price"": 170}, {""product"": ""IceDrip"", ""qty"": 2, ""unit_price"": 150}]",7.0,640.0
TXN00200,2021-06-10,09:50,10:03,Thursday,New,400,MobilePay,DineIn,T5,S4,3,"[{""product"": ""EarlGrey"", ""qty"": 1, ""unit_price"": 160}, {""product"": ""Americano"", ""qty"": 2, ""unit_price"": 120}]",13.0,133.33333333333334
TXN00171,2021-06-10,11:35,11:43,Thursday,Returning,780,Cash,DineIn,T10,S1,2,"[{""product"": ""EarlGrey"", ""qty"": 1, ""unit_price"": 160}, {""product"": ""Americano"", ""qty"": 1, ""unit_price"": 120}, {""product"": ""Sandwich"", ""qty"": 2, ""unit_price"": 250}]",8.0,390.0
TXN00037,2021-06-10,12:04,12:11,Thursday,Returning,360,Credit,DineIn,T6,S1,2,"[{""product"": ""PourOver"", ""qty"": 2, ""unit_price"": 180}]",7.0,180.0
TXN00047,2021-06-10,12:16,12:30,Thursday,Returning,400,Credit,DineIn,T9,S2,2,"[{""product"": ""AuLait"", ""qty"": 2, ""unit_price"": 200}]",14.0,200.0
TXN00054,2021-06-10,12:23,12:36,Thursday,Returning,1280,MobilePay,DineIn,T5,S3,4,"[{""product"": ""CinnamonRoll"", ""qty"": 2, ""unit_price"": 170}, {""product"": ""Tiramisu"", ""qty"": 2, ""unit_price"": 170}, {""product"": ""EarlGrey"", ""qty"": 3, ""unit_price"": 160}, {""product"": ""Americano"", ""qty"": 1, ""unit_price"": 120}]",13.0,320.0
TXN00137,2021-06-10,14:03,14:13,Thursday,Returning,970,MobilePay,DineIn,T1,S4,3,"[{""product"": ""CinnamonRoll"", ""qty"": 2, ""unit_price"": 170}, {""product"": ""Tiramisu"", ""qty"": 1, ""unit_price"": 170}, {""product"": ""Tiramisu"", ""qty"": 2, ""unit_price"": 170}, {""product"": ""Americano"", ""qty"": 1, ""unit_price"": 120}]",10.0,323.3333333333333
TXN00153,2021-06-10,16:59,17:14,Thursday,New,1120,Cash,DineIn,T2,S3,4,"[{""product"": ""PourOver"", ""qty"": 2, ""unit_price"": 180}, {""product"": ""Americano"", ""qty"": 2, ""unit_price"": 120}, {""product"": ""PourOver"", ""qty"": 1, ""unit_price"": 180}, {""product"": ""CinnamonRoll"", ""qty"": 2, ""unit_price"": 170}]",15.0,280.0
TXN00227,2021-06-10,18:18,18:25,Thursday,Returning,170,Credit,DineIn,T4,S3,1,"[{""product"": ""CinnamonRoll"", ""qty"": 1, ""unit_price"": 170}]",7.0,170.0
TXN00049,2021-06-10,18:22,18:37,Thursday,Returning,740,MobilePay,DineIn,T1,S2,2,"[{""product"": ""AuLait"", ""qty"": 2, ""unit_price"": 200}, {""product"": ""CinnamonRoll"", ""qty"": 2, ""unit_price"": 170}]",15.0,370.0
TXN00167,2021-06-10,19:16,19:24,Thursday,New,170,Credit,TakeOut,,S4,2,"[{""product"": ""CinnamonRoll"", ""qty"": 1, ""unit_price"": 170}]",8.0,85.0
TXN00053,2021-06-10,20:49,21:01,Thursday,New,340,MobilePay,DineIn,T8,S1,1,"[{""product"": ""CinnamonRoll"", ""qty"": 2, ""unit_price"": 170}]",12.0,340.0
TXN00161,2021-06-11,08:26,08:40,Friday,Returning,370,MobilePay,DineIn,T2,S2,3,"[{""product"": ""AuLait"", ""qty"": 1, ""unit_price"": 200}, {""product"": ""CinnamonRoll"", ""qty"": 1, ""unit_price"": 170}]",14.0,123.33333333333333
TXN00129,2021-06-11,10:50,11:03,Friday,Returning,340,MobilePay,DineIn,T10,S3,2,"[{""product"": ""CinnamonRoll"", ""qty"": 2, ""unit_price"": 170}]",13.0,170.0
